cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat
155,9.564768588684887,8.547202049110863,10.641142124322158,2,twin,young
156,8.827116466747258,7.7955239238771785,9.987217516599838,2,twin,young
157,8.149557704793345,6.840876718411103,9.61492863367361,1,singleton,old
158,14.642726789408783,11.747440528335337,17.885242944135374,1,singleton,old
159,10.00787019165103,8.740279610860094,11.401663792861415,2,twin,old
160,11.748369355416427,10.260328238835765,13.384561843793836,2,twin,old
161,12.214821722141856,10.337826951325154,14.286812385916742,2,twin,old
162,12.771282292766392,10.98856007558677,14.698715989076568,2,twin,old
163,8.868509648859364,7.701742266474842,10.108164240865204,2,twin,young
164,9.154590605274182,7.950185565393384,10.43423405508666,2,twin,young
165,18.04714833557257,15.705654650411741,20.557212833915766,2,twin,middle-aged
166,18.308701210001157,15.933272833751042,20.855143454697156,2,twin,middle-aged
167,12.082320311410859,9.727475278934142,14.798466924892011,1,singleton,young
168,11.994623703773383,10.4580235538458,13.643439616346425,2,twin,young
169,11.435027981045144,9.793383325133485,13.232353288710472,2,twin,young
170,22.28591166429679,18.989278079753767,25.99868433394317,1,singleton,middle-aged
171,12.407063150691151,10.486250734505036,14.472760338970774,2,twin,middle-aged
172,12.682775665150952,10.719278528605145,14.794377235392341,2,twin,middle-aged
173,9.90696945830695,8.488419742348821,11.391830727176282,2,twin,young
174,9.0813886701147,7.781051430486418,10.442511499911587,2,twin,young
175,21.224347496115453,17.98565139402428,24.638107967471615,2,twin,middle-aged
176,20.195530045327153,16.976636509209563,23.6518506191248,2,twin,middle-aged
177,18.09620902557734,15.506792451078997,20.79829696542905,2,twin,middle-aged
178,14.957070725222087,12.816838658544887,17.190429124487274,2,twin,middle-aged
179,10.34515166364712,8.724253168348328,12.113026787159,1,singleton,young
180,17.336382203242866,14.527778419113396,20.423000733367974,2,twin,middle-aged
181,16.142410861131527,13.6755864291833,18.807916013970694,2,twin,middle-aged
182,12.516970146607738,10.912719251508166,14.12987835634462,2,twin,young
183,14.477347858361362,12.457151433150733,16.6102297376362,2,twin,young
184,12.973672376350871,11.344524752375198,14.596432045733023,1,singleton,young
185,19.374413431716466,16.77493309086638,22.13096215310496,2,twin,middle-aged
186,17.94298190982305,15.706886144254385,20.184801377430247,2,twin,middle-aged
