cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat,length_mat
333,24.020566884134542,20.14996225922637,27.8651987962878,3,triplet,old,201
334,19.632194087994577,16.4687191541754,22.774441323889064,3,triplet,old,201
335,12.703184409878846,10.656230040937023,14.736403209575277,3,triplet,old,201
336,19.743948987549103,17.41614325209889,22.186968526102053,1,singleton,middle-aged,203
337,10.050167226276468,8.754651557346039,11.392688530619987,2,twin,young,201
338,10.60918663719698,9.344348174970062,11.963659875345794,2,twin,young,201
339,14.493212902698478,13.030373761983117,16.097202654384894,2,twin,middle-aged,190
340,15.068492421791458,13.336108892944731,17.04295213357069,2,twin,middle-aged,190
341,8.903192875073604,7.509540205150509,10.50116673096465,1,singleton,old,193
342,10.174127846057063,9.101904836406554,11.318321385355555,2,twin,middle-aged,188
343,10.416368985248898,9.318616856320995,11.587805227864019,2,twin,middle-aged,188
344,16.27971633694643,14.316862475906097,18.341828382327733,2,twin,young,195
345,15.13325743997837,13.308632724081725,17.05015032723423,2,twin,young,195
346,12.659333613051691,10.950239765708902,14.357405857665391,2,twin,old,195
347,13.012050510800114,11.334463199897085,14.719895320888897,2,twin,old,195
348,10.38921005101752,8.325348201448632,12.47726761126362,1,singleton,old,207
349,13.789197354421393,11.300427151778798,16.8470407234661,1,singleton,middle-aged,184
350,21.321639324537358,18.359449255098358,24.40572076209256,1,singleton,middle-aged,204
351,14.160047047597587,12.300803389240313,16.022987888298697,2,twin,middle-aged,197
352,13.246495625171937,11.507203170579649,14.98924673421491,2,twin,middle-aged,197
353,14.543473450033824,12.367801497001492,16.908402408526847,2,twin,middle-aged,193
354,13.672664621393574,11.870422624249915,15.642542123611484,2,twin,middle-aged,193
355,15.626347838190734,13.456490901343027,18.00897576827687,2,twin,middle-aged,179
356,14.690897252006986,12.829972155598549,16.6465367346515,2,twin,middle-aged,179
357,12.00698467786336,10.443483496728602,13.607215219904147,2,twin,middle-aged,187
358,14.457389714162003,12.57480665932628,16.384197917843768,2,twin,middle-aged,187
359,14.724606496472939,12.680623101476717,16.98429656434598,2,twin,young,182
360,14.724606496472939,12.680623101476717,16.98429656434598,2,twin,young,182
361,11.66926639909827,9.27822705939315,14.475171151288945,1,singleton,middle-aged,189
362,12.81246681862557,11.1728858207417,14.759910546573835,2,twin,middle-aged,192
363,13.78397134825696,12.100810162053074,15.663030532432442,2,twin,middle-aged,192
364,17.41000830788771,15.260221369245368,19.88462519327002,2,twin,middle-aged,201
365,17.997708183332183,15.6824812487068,20.788254512311354,2,twin,middle-aged,201
366,10.631873330676594,9.32563430977908,12.173393423346477,1,singleton,middle-aged,199
367,9.887009383370158,8.730085067281886,11.282554039639193,1,singleton,middle-aged,192
368,14.98158483622799,13.248942648818867,17.026539191563547,2,twin,middle-aged,196
369,15.480970997435588,13.69057407044616,17.594090497949,2,twin,middle-aged,196
370,15.24010531386178,13.330880724502528,17.372956587273485,2,twin,middle-aged,201
371,15.134738196609181,13.448949025326105,17.118978877993154,2,twin,middle-aged,201
