cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat,girth_mat
331,9.683462982437668,8.503246766318108,10.970586527059991,2,twin,middle-aged,105
332,14.4584274807479,12.911759252156665,16.068925083570917,1,singleton,middle-aged,106
333,25.232446706552054,21.298605838766647,29.205113327988652,3,triplet,old,112
334,20.62267278900889,17.40751438745351,23.86956377768303,3,triplet,old,112
335,13.344082392888106,11.263685780116978,15.445011856147843,3,triplet,old,112
336,20.21270786733554,18.116684978319682,22.47435022905559,1,singleton,middle-aged,113
337,11.366838801789118,9.86681652395996,12.886852785046843,2,twin,young,100
338,11.999091379846204,10.497640409780672,13.594978050001842,2,twin,young,100
339,13.72952613915076,12.386901480702077,15.18705735887402,2,twin,middle-aged,111
340,14.274045677087559,12.696431118431654,16.09522303989612,2,twin,middle-aged,111
341,8.619780781165183,7.321339306603761,10.111971737819031,1,singleton,old,112
342,9.050709397095451,8.123720962657602,10.033038597974272,2,twin,middle-aged,118
343,9.266202477978673,8.317142890339927,10.271920469354612,2,twin,middle-aged,118
344,16.924486815885874,14.80390273588064,19.075590794852317,2,twin,young,104
345,15.732621547161516,13.761374374198905,17.732239330426104,2,twin,young,104
346,12.83998281654007,11.135386612311198,14.549253044158178,2,twin,old,108
347,13.19784917146047,11.5122481024611,14.953395756078834,2,twin,old,108
348,12.047191728331237,9.776601352874163,14.466310559675414,1,singleton,old,104
349,14.316020698536478,11.89176471395388,17.404473189631496,1,singleton,middle-aged,100
350,19.530039448627594,16.461126154788477,22.987908531673042,1,singleton,middle-aged,124
351,13.367481131818153,11.496396528214246,15.351511471629498,2,twin,middle-aged,123
352,12.505062994281499,10.754693526393973,14.361091376685662,2,twin,middle-aged,123
353,14.196681641955777,12.053867973071762,16.554075446675725,2,twin,middle-aged,111
354,13.346768388402108,11.552846344820278,15.301080612938115,2,twin,middle-aged,111
355,13.423029741401331,11.69936325854861,15.187250439749963,2,twin,middle-aged,109
356,12.62091741793777,11.114363095791946,13.975072857533704,2,twin,middle-aged,109
357,11.59660785303215,10.013930841748222,13.139058798848462,2,twin,middle-aged,103
358,13.963262516916261,12.057590197207041,15.820499370042024,2,twin,middle-aged,103
359,13.200538190276914,11.357666121093622,15.056241456657233,2,twin,young,107
360,13.200538190276914,11.357666121093622,15.056241456657233,2,twin,young,107
361,11.736394270338934,9.314915705114691,14.45537861484832,1,singleton,middle-aged,106
362,12.081549677889171,10.466561466743297,13.882143970325812,2,twin,middle-aged,115
363,12.997665267801187,11.445426086695724,14.78831351647203,2,twin,middle-aged,115
364,17.0961359614861,14.92693295746519,19.527539084270618,2,twin,middle-aged,123
365,17.674820323976054,15.107787118434771,20.322625168455268,2,twin,middle-aged,123
366,9.832718293065327,8.483595496264757,11.42348721019133,1,singleton,middle-aged,120
367,10.261531580565618,9.021654405753425,11.694557831092547,1,singleton,middle-aged,105
368,15.443392256902944,13.63053750914298,17.578308236241753,2,twin,middle-aged,107
369,15.958171998799708,14.084888759447745,18.164251844116478,2,twin,middle-aged,107
370,15.248681538675648,13.119439484189101,17.50843095578057,2,twin,middle-aged,120
371,15.142080388634014,13.258735294589428,17.032926724614732,2,twin,middle-aged,120
